File,Line,Method,Path,Suggested Fix
owners.py,143,PATCH,/{id},/{id}/
owners.py,188,DELETE,/{id},/{id}/
owners.py,207,GET,/{id}/delivery-locations,/{id}/delivery-locations/
owners.py,229,POST,/{id}/delivery-locations,/{id}/delivery-locations/
owners.py,272,DELETE,/{id}/delivery-locations/{delivery_location_id},/{id}/delivery-locations/{delivery_location_id}/
permissions.py,57,GET,/{id},/{id}/
permissions.py,86,PATCH,/{id},/{id}/
permissions.py,109,DELETE,/{id},/{id}/
pick_lists.py,186,GET,/{id},/{id}/
pick_lists.py,284,PATCH,/{id},/{id}/
pick_lists.py,516,PATCH,/{pick_list_id}/add_request,/{pick_list_id}/add_request/
pick_lists.py,787,DELETE,/{id},/{id}/
priorities.py,65,GET,/priorities/{id},/priorities/{id}/
priorities.py,97,PATCH,/priorities/{id},/priorities/{id}/
priorities.py,126,DELETE,/priorities/{id},/priorities/{id}/
refile_jobs.py,180,GET,/{id},/{id}/
refile_jobs.py,343,PATCH,/{id},/{id}/
refile_jobs.py,442,DELETE,/{id},/{id}/
refile_jobs.py,520,POST,/{job_id}/add_items,/{job_id}/add_items/
refile_jobs.py,678,DELETE,/{job_id}/remove_items,/{job_id}/remove_items/
refile_jobs.py,760,PATCH,/{job_id}/update_item/{item_id},/{job_id}/update_item/{item_id}/
reporting.py,3385,DELETE,/scheduled-exports/{export_id},/scheduled-exports/{export_id}/
reporting.py,3408,GET,/export-history/download/{history_id},/export-history/download/{history_id}/
request_types.py,67,GET,/types/{id},/types/{id}/
request_types.py,99,PATCH,/types/{id},/types/{id}/
request_types.py,130,DELETE,/types/{id},/types/{id}/
requests.py,255,GET,/{id},/{id}/
requests.py,430,PATCH,/{id},/{id}/
requests.py,493,DELETE,/{id},/{id}/
shelf_numbers.py,60,GET,/numbers/{id},/numbers/{id}/
shelf_numbers.py,92,PATCH,/numbers/{id},/numbers/{id}/
shelf_numbers.py,121,DELETE,/numbers/{id},/numbers/{id}/
shelf_position_numbers.py,58,GET,/numbers/{id},/numbers/{id}/
shelf_position_numbers.py,95,PATCH,/numbers/{id},/numbers/{id}/
shelf_position_numbers.py,126,DELETE,/numbers/{id},/numbers/{id}/
shelf_positions.py,81,GET,/{id},/{id}/
shelf_positions.py,129,PATCH,/{id},/{id}/
shelf_positions.py,167,DELETE,/{id},/{id}/
shelf_types.py,161,GET,/{id},/{id}/
shelf_types.py,186,PATCH,/{id},/{id}/
shelf_types.py,230,DELETE,/{id},/{id}/
shelves.py,203,GET,/{id},/{id}/
shelves.py,216,GET,/barcode/{value},/barcode/{value}/
shelves.py,268,GET,/barcode/{value}/next-position,/barcode/{value}/next-position/
shelves.py,296,GET,/barcode/{value}/shelved,/barcode/{value}/shelved/
shelves.py,656,PATCH,/{id},/{id}/
shelves.py,743,DELETE,/{id},/{id}/
shelving_jobs.py,223,GET,/{id},/{id}/
shelving_jobs.py,383,PATCH,/{id},/{id}/
shelving_jobs.py,497,DELETE,/{id},/{id}/
shelving_jobs.py,597,POST,/{id}/reassign-container-location,/{id}/reassign-container-location/
shelving_jobs.py,1500,POST,/{id}/cancel,/{id}/cancel/
shelving_jobs.py,1540,GET,/{id}/containers,/{id}/containers/
shelving_jobs.py,1573,POST,/{id}/containers,/{id}/containers/
shelving_jobs.py,1647,DELETE,/{id}/containers/{container_id},/{id}/containers/{container_id}/
shelving_jobs.py,1685,POST,/{id}/pre-assign,/{id}/pre-assign/
shelving_jobs.py,1727,PATCH,/{id}/containers/{container_id}/override,/{id}/containers/{container_id}/override/
shelving_jobs.py,1786,POST,/{id}/scan-container,/{id}/scan-container/
shelving_jobs.py,1848,POST,/{id}/confirm-shelve,/{id}/confirm-shelve/
shipping_jobs.py,128,GET,/{id},/{id}/
shipping_jobs.py,144,PATCH,/{id},/{id}/
shipping_jobs.py,226,DELETE,/{id},/{id}/
shipping_jobs.py,280,POST,/{id}/bins,/{id}/bins/
shipping_jobs.py,343,GET,/{id}/items/check,/{id}/items/check/
shipping_jobs.py,409,POST,/{id}/bins/{bin_id}/items,/{id}/bins/{bin_id}/items/
shipping_jobs.py,539,DELETE,/{id}/bins/{bin_id}/items/{item_id},/{id}/bins/{bin_id}/items/{item_id}/
shipping_jobs.py,579,PATCH,/{id}/complete,/{id}/complete/
shipping_jobs.py,717,GET,/{id}/manifest,/{id}/manifest/
side_orientations.py,61,GET,/orientations/{id},/orientations/{id}/
side_orientations.py,97,PATCH,/orientations/{id},/orientations/{id}/
side_orientations.py,129,DELETE,/orientations/{id},/orientations/{id}/
sides.py,84,GET,/{id},/{id}/
sides.py,115,PATCH,/{id},/{id}/
sides.py,148,DELETE,/{id},/{id}/
size_class.py,74,GET,/{id},/{id}/
size_class.py,102,PATCH,/{id},/{id}/
size_class.py,133,DELETE,/{id},/{id}/
subcollection.py,61,GET,/{id},/{id}/
subcollection.py,95,PATCH,/{id},/{id}/
subcollection.py,128,DELETE,/{id},/{id}/
system_settings.py,37,GET,/{key},/{key}/
system_settings.py,75,PATCH,/{key},/{key}/
system_settings.py,102,DELETE,/{key},/{key}/
trays.py,106,GET,/{id},/{id}/
trays.py,119,GET,/barcode/{value},/barcode/{value}/
trays.py,199,PATCH,/{id},/{id}/
trays.py,326,DELETE,/{id},/{id}/
trays.py,365,POST,/move/{barcode_value},/move/{barcode_value}/
users.py,70,GET,/{id},/{id}/
users.py,84,GET,/{id}/groups,/{id}/groups/
users.py,114,PATCH,/{id},/{id}/
users.py,144,DELETE,/{id},/{id}/
users.py,163,GET,/{user_id}/permissions,/{user_id}/permissions/
verification_changes.py,57,GET,/{id},/{id}/
verification_changes.py,90,PATCH,/{id},/{id}/
verification_changes.py,116,DELETE,/{id},/{id}/
verification_jobs.py,218,GET,/{id},/{id}/
verification_jobs.py,231,GET,/by-accession-job-id/{id},/by-accession-job-id/{id}/
verification_jobs.py,248,GET,/workflow/{id},/workflow/{id}/
verification_jobs.py,297,PATCH,/{id},/{id}/
verification_jobs.py,402,DELETE,/{id},/{id}/
verification_jobs.py,471,PATCH,/{id}/add,/{id}/add/
verification_jobs.py,580,PATCH,/{id}/remove,/{id}/remove/
withdraw_jobs.py,137,GET,/{id},/{id}/
withdraw_jobs.py,176,PATCH,/{id},/{id}/
withdraw_jobs.py,572,DELETE,/{job_id},/{job_id}/
withdraw_jobs.py,644,POST,/{job_id}/add_items,/{job_id}/add_items/
withdraw_jobs.py,837,DELETE,/{job_id}/remove_items,/{job_id}/remove_items/
